epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.947,3.08244,3.3117,1.75524,0.04721,0.15863,0.0446,0.01946,2.42884,2.4831,1.41617,0.000499382,0.000499382,0.0672073
2,216.474,2.31033,2.40207,1.33967,0.1724,0.12722,0.06706,0.03178,2.17195,2.16446,1.33981,0.000998445,0.000998445,0.034373
3,319.305,2.12589,2.16104,1.26506,0.28752,0.14607,0.0962,0.04707,2.07469,1.98387,1.23712,0.00149377,0.00149377,0.00153497
4,419.714,2.01517,2.00626,1.22266,0.39302,0.17416,0.12331,0.06222,1.94266,1.79278,1.21883,0.00148738,0.00148738,0.00148738
5,519.548,1.93801,1.90796,1.19619,0.23656,0.19569,0.14356,0.07447,1.86886,1.73169,1.1824,0.00147762,0.00147762,0.00147762
6,620.571,1.90429,1.85307,1.18113,0.2425,0.21757,0.15485,0.08028,1.81975,1.68546,1.16422,0.00146513,0.00146513,0.00146513
7,720.25,1.85998,1.79167,1.1662,0.24861,0.21952,0.16277,0.08709,1.78602,1.6165,1.14135,0.00144997,0.00144997,0.00144997
8,820.266,1.82925,1.74039,1.15532,0.35569,0.2254,0.17447,0.09275,1.74735,1.57728,1.12488,0.00143219,0.00143219,0.00143219
9,922.745,1.81735,1.72008,1.14463,0.27769,0.23539,0.18982,0.09966,1.73413,1.54445,1.14139,0.00141187,0.00141187,0.00141187
10,1023.71,1.80041,1.68877,1.14061,0.37899,0.24875,0.19676,0.10555,1.7028,1.51786,1.12077,0.00138908,0.00138908,0.00138908
11,1124.41,1.78769,1.66486,1.13496,0.41001,0.24517,0.20602,0.11183,1.68732,1.50128,1.11589,0.00136392,0.00136392,0.00136392
12,1224.66,1.76093,1.63233,1.12633,0.31044,0.25968,0.22129,0.12006,1.66219,1.45477,1.10996,0.00133649,0.00133649,0.00133649
13,1325.13,1.74967,1.61784,1.12395,0.33193,0.25227,0.22251,0.12214,1.65288,1.45662,1.10472,0.00130689,0.00130689,0.00130689
14,1430.72,1.74538,1.59551,1.11812,0.33708,0.26196,0.23188,0.12757,1.63644,1.43477,1.09064,0.00127524,0.00127524,0.00127524
15,1537.66,1.74125,1.59195,1.11803,0.34123,0.26869,0.23772,0.13295,1.61601,1.41574,1.08975,0.00124166,0.00124166,0.00124166
16,1645.65,1.72967,1.57179,1.11277,0.34988,0.27116,0.24389,0.13553,1.61843,1.39878,1.08803,0.0012063,0.0012063,0.0012063
17,1747.39,1.72151,1.56279,1.10839,0.35175,0.27258,0.24964,0.13967,1.59978,1.3768,1.07844,0.00116928,0.00116928,0.00116928
18,1848.32,1.70224,1.52842,1.10045,0.35304,0.27257,0.25307,0.14185,1.5934,1.37384,1.07883,0.00113075,0.00113075,0.00113075
19,1949,1.70109,1.53043,1.10033,0.38673,0.27906,0.25656,0.14282,1.58967,1.36305,1.07696,0.00109087,0.00109087,0.00109087
20,2049.25,1.69404,1.51224,1.09632,0.36908,0.28069,0.26018,0.14643,1.57917,1.3525,1.07135,0.00104979,0.00104979,0.00104979
21,2149.8,1.68764,1.50634,1.09323,0.37619,0.28547,0.26231,0.14775,1.57421,1.34444,1.06805,0.00100767,0.00100767,0.00100767
22,2249.72,1.67542,1.48362,1.08954,0.37894,0.29286,0.26562,0.14916,1.56692,1.33477,1.06616,0.000964692,0.000964692,0.000964692
23,2350.45,1.67513,1.48377,1.08728,0.37918,0.2919,0.26897,0.15208,1.56326,1.32913,1.06498,0.000921009,0.000921009,0.000921009
24,2449.97,1.66725,1.47471,1.08717,0.39604,0.29128,0.27266,0.1547,1.5618,1.32316,1.06384,0.0008768,0.0008768,0.0008768
25,2550.51,1.6602,1.45926,1.08288,0.39644,0.29758,0.27475,0.15529,1.55651,1.31576,1.06178,0.000832238,0.000832238,0.000832238
26,2651.04,1.65144,1.45158,1.07868,0.38893,0.29979,0.27546,0.15652,1.54935,1.31406,1.05864,0.0007875,0.0007875,0.0007875
27,2750.42,1.65139,1.44475,1.07767,0.4049,0.29912,0.27875,0.15775,1.54777,1.3061,1.05758,0.000742762,0.000742762,0.000742762
28,2850.41,1.64536,1.43659,1.07527,0.4114,0.29583,0.2793,0.15822,1.54566,1.30419,1.05706,0.0006982,0.0006982,0.0006982
29,2951.26,1.63575,1.42429,1.06975,0.4022,0.30023,0.28156,0.15994,1.54254,1.2996,1.05489,0.000653991,0.000653991,0.000653991
30,3053.81,1.63058,1.41448,1.06912,0.40647,0.30355,0.28358,0.16084,1.54062,1.29472,1.0534,0.000610308,0.000610308,0.000610308
31,3156.38,1.62474,1.40616,1.06642,0.41199,0.30301,0.28422,0.16147,1.53724,1.29059,1.05178,0.000567325,0.000567325,0.000567325
32,3260.68,1.61653,1.39143,1.06296,0.40507,0.30756,0.28653,0.16243,1.5343,1.28691,1.04985,0.000525211,0.000525211,0.000525211
33,3363.54,1.61179,1.38524,1.06281,0.41455,0.30498,0.28701,0.16279,1.53349,1.28414,1.04897,0.000484132,0.000484132,0.000484132
34,3467.29,1.61273,1.38372,1.06084,0.41159,0.30445,0.28835,0.16341,1.53179,1.28084,1.04847,0.000444251,0.000444251,0.000444251
35,3570.4,1.60272,1.37134,1.05927,0.41686,0.30351,0.28943,0.16386,1.53123,1.27854,1.04814,0.000405723,0.000405723,0.000405723
36,3674.3,1.59808,1.36402,1.05545,0.42048,0.30425,0.29039,0.16432,1.53025,1.2765,1.04754,0.000368703,0.000368703,0.000368703
37,3778.88,1.59388,1.35484,1.05499,0.4175,0.30572,0.29067,0.16479,1.52961,1.27489,1.04691,0.000333335,0.000333335,0.000333335
38,3880.08,1.58973,1.3497,1.05382,0.42011,0.305,0.29158,0.16532,1.52843,1.27295,1.04649,0.00029976,0.00029976,0.00029976
39,3984.45,1.58616,1.34774,1.05082,0.4162,0.307,0.29246,0.16586,1.52813,1.27116,1.04617,0.00026811,0.00026811,0.00026811
40,4087.96,1.58019,1.33797,1.04926,0.41456,0.3089,0.29276,0.16622,1.52722,1.26976,1.04572,0.000238509,0.000238509,0.000238509
41,4177.8,1.55174,1.30682,1.04373,0.41656,0.30878,0.29318,0.16653,1.52714,1.2689,1.04554,0.000211075,0.000211075,0.000211075
42,4267.53,1.54375,1.2893,1.04053,0.41588,0.3108,0.29372,0.16706,1.52663,1.26781,1.04542,0.000185916,0.000185916,0.000185916
43,4356.83,1.54049,1.28559,1.0399,0.41732,0.31092,0.2948,0.16733,1.526,1.26707,1.04519,0.000163131,0.000163131,0.000163131
