epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.347,3.06527,3.43771,1.53896,0.045,0.12476,0.04035,0.01639,2.47775,2.66434,1.30016,0.000499382,0.000499382,0.0672073
2,209.52,2.32104,2.46923,1.22286,0.35213,0.14457,0.08368,0.0378,2.08134,2.07203,1.14135,0.000998445,0.000998445,0.034373
3,308.573,2.11975,2.22048,1.14311,0.31795,0.15973,0.07623,0.03445,2.1701,2.14974,1.16175,0.00149377,0.00149377,0.00153497
4,405.513,2.01101,2.0688,1.10526,0.40946,0.16138,0.10867,0.05122,1.95644,1.97476,1.09494,0.00148738,0.00148738,0.00148738
5,501.364,1.93809,1.97444,1.08093,0.20782,0.19672,0.13553,0.06848,1.83168,1.78345,1.05604,0.00147762,0.00147762,0.00147762
6,598.196,1.89883,1.91136,1.06762,0.23151,0.21001,0.1459,0.07211,1.80654,1.77259,1.04501,0.00146513,0.00146513,0.00146513
7,694.269,1.85372,1.85336,1.05384,0.25099,0.21558,0.16336,0.08361,1.75087,1.65409,1.02984,0.00144997,0.00144997,0.00144997
8,790.403,1.82654,1.80331,1.04518,0.28063,0.2192,0.1751,0.08997,1.73738,1.63052,1.02298,0.00143219,0.00143219,0.00143219
9,887.699,1.80755,1.78167,1.03754,0.30187,0.23821,0.19907,0.10287,1.7031,1.58869,1.01745,0.00141187,0.00141187,0.00141187
10,987.598,1.79037,1.75086,1.0321,0.3925,0.22949,0.19336,0.09992,1.69627,1.58369,1.01391,0.00138908,0.00138908,0.00138908
11,1087.1,1.77755,1.72879,1.02737,0.33536,0.23979,0.20445,0.10876,1.66212,1.5328,0.99761,0.00136392,0.00136392,0.00136392
12,1185.86,1.75597,1.70129,1.02047,0.30499,0.25075,0.21118,0.11176,1.65609,1.52025,1.00259,0.00133649,0.00133649,0.00133649
13,1278.17,1.74543,1.68385,1.01724,0.32705,0.25793,0.21564,0.11485,1.63573,1.51477,0.99555,0.00130689,0.00130689,0.00130689
14,1371.41,1.73415,1.6604,1.0143,0.32264,0.26324,0.2271,0.12173,1.62406,1.49791,0.98748,0.00127524,0.00127524,0.00127524
15,1467.07,1.72884,1.65692,1.01279,0.3402,0.26617,0.23682,0.12699,1.6095,1.46763,0.98582,0.00124166,0.00124166,0.00124166
16,1562.45,1.71441,1.63593,1.00858,0.4316,0.26573,0.23986,0.12909,1.60075,1.45701,0.98083,0.0012063,0.0012063,0.0012063
17,1657.8,1.70816,1.62357,1.00576,0.3578,0.27256,0.24793,0.13345,1.58903,1.43679,0.97982,0.00116928,0.00116928,0.00116928
18,1757.17,1.68727,1.59384,1.00002,0.34492,0.27159,0.24914,0.1357,1.58488,1.43249,0.97799,0.00113075,0.00113075,0.00113075
19,1854.79,1.68866,1.59636,0.99961,0.37902,0.27743,0.25328,0.13742,1.57865,1.42149,0.97417,0.00109087,0.00109087,0.00109087
20,1951.11,1.67757,1.57462,0.99734,0.39406,0.28009,0.25789,0.13959,1.5688,1.41157,0.97231,0.00104979,0.00104979,0.00104979
21,2049.59,1.66882,1.56655,0.99402,0.3895,0.28193,0.26227,0.14362,1.55715,1.40292,0.96967,0.00100767,0.00100767,0.00100767
22,2147.93,1.65973,1.54514,0.99081,0.39942,0.28295,0.26606,0.1454,1.55476,1.39291,0.96887,0.000964692,0.000964692,0.000964692
23,2245.15,1.6577,1.54736,0.9911,0.40459,0.28403,0.26946,0.14728,1.55114,1.38651,0.96802,0.000921009,0.000921009,0.000921009
24,2339.32,1.65008,1.53534,0.98841,0.41826,0.28627,0.27317,0.14936,1.54685,1.38073,0.96645,0.0008768,0.0008768,0.0008768
25,2437.67,1.64454,1.52315,0.98666,0.38828,0.29481,0.27519,0.15026,1.54008,1.3719,0.96432,0.000832238,0.000832238,0.000832238
26,2532.31,1.6369,1.51693,0.98359,0.39038,0.2959,0.27631,0.15018,1.53706,1.3712,0.96336,0.0007875,0.0007875,0.0007875
27,2625.06,1.63295,1.50721,0.9833,0.40882,0.2946,0.27813,0.15212,1.53264,1.36435,0.96282,0.000742762,0.000742762,0.000742762
28,2718.43,1.62565,1.49587,0.98019,0.41173,0.29676,0.28057,0.15319,1.53129,1.3621,0.96225,0.0006982,0.0006982,0.0006982
