epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.056,3.06068,3.42934,1.54629,0.03543,0.15818,0.0394,0.01584,2.46651,2.54199,1.30026,0.000499382,0.000499382,0.0672073
2,200.055,2.31498,2.49478,1.22101,0.27721,0.1361,0.08131,0.03742,2.10383,2.16939,1.1616,0.000998445,0.000998445,0.034373
3,299.697,2.11804,2.23464,1.14426,0.24131,0.13382,0.07211,0.03459,2.09738,2.17864,1.12971,0.00149377,0.00149377,0.00153497
4,398.67,2.00685,2.07827,1.10483,0.29772,0.17124,0.11168,0.05449,1.92987,1.90233,1.08644,0.00148738,0.00148738,0.00148738
5,494.992,1.93871,1.98513,1.08129,0.23691,0.19859,0.13918,0.0708,1.82766,1.79465,1.05421,0.00147762,0.00147762,0.00147762
6,588.423,1.90139,1.92703,1.06883,0.23863,0.21088,0.14982,0.07388,1.80671,1.74999,1.05109,0.00146513,0.00146513,0.00146513
7,681.766,1.85598,1.86086,1.05527,0.24184,0.22942,0.15392,0.08004,1.75155,1.71037,1.02646,0.00144997,0.00144997,0.00144997
8,774.519,1.82827,1.81159,1.04609,0.38062,0.22428,0.18241,0.09418,1.73866,1.62369,1.02793,0.00143219,0.00143219,0.00143219
9,869.341,1.81032,1.79112,1.03888,0.29255,0.23107,0.1956,0.10122,1.70047,1.5833,1.01466,0.00141187,0.00141187,0.00141187
10,962.799,1.79603,1.761,1.03445,0.28293,0.2419,0.19692,0.10381,1.67038,1.56407,1.00588,0.00138908,0.00138908,0.00138908
11,1056.03,1.78121,1.73478,1.02867,0.40953,0.24291,0.20523,0.10737,1.66703,1.54372,1.00329,0.00136392,0.00136392,0.00136392
12,1149.08,1.76172,1.70632,1.02288,0.31677,0.25507,0.21848,0.11432,1.64875,1.5037,0.99944,0.00133649,0.00133649,0.00133649
13,1241.72,1.74903,1.69339,1.01917,0.32453,0.26541,0.22256,0.11782,1.63265,1.50183,0.99493,0.00130689,0.00130689,0.00130689
14,1335.24,1.7392,1.66659,1.01602,0.32789,0.25923,0.22668,0.12161,1.61825,1.49124,0.98903,0.00127524,0.00127524,0.00127524
15,1428.21,1.73043,1.65961,1.01418,0.33516,0.2645,0.23735,0.12756,1.60311,1.46787,0.98701,0.00124166,0.00124166,0.00124166
16,1522.24,1.7192,1.64252,1.0104,0.45174,0.26403,0.24377,0.13125,1.5978,1.45095,0.98266,0.0012063,0.0012063,0.0012063
17,1616.09,1.71153,1.62964,1.00733,0.37772,0.27018,0.24803,0.13533,1.58264,1.43655,0.97927,0.00116928,0.00116928,0.00116928
18,1710.19,1.68817,1.59674,1.00108,0.36189,0.26967,0.25014,0.13616,1.57625,1.42894,0.97767,0.00113075,0.00113075,0.00113075
19,1803.81,1.69412,1.60368,1.00206,0.37603,0.27243,0.25247,0.13721,1.56751,1.41647,0.97399,0.00109087,0.00109087,0.00109087
20,1897.02,1.67832,1.5796,0.99879,0.36634,0.28343,0.25331,0.13744,1.56088,1.40934,0.97243,0.00104979,0.00104979,0.00104979
21,1990.68,1.67506,1.57487,0.99582,0.39231,0.27607,0.25841,0.14146,1.55295,1.40011,0.97041,0.00100767,0.00100767,0.00100767
22,2083.76,1.66179,1.55065,0.99221,0.38046,0.28351,0.26238,0.14385,1.54573,1.38836,0.96716,0.000964692,0.000964692,0.000964692
23,2177.56,1.6599,1.55175,0.99219,0.37947,0.28586,0.26296,0.1439,1.54689,1.38624,0.96774,0.000921009,0.000921009,0.000921009
24,2270.15,1.65447,1.54454,0.9904,0.38327,0.28814,0.26659,0.1464,1.54,1.38126,0.96633,0.0008768,0.0008768,0.0008768
25,2363.69,1.6452,1.52788,0.98775,0.38879,0.28835,0.26925,0.14788,1.53198,1.37148,0.96359,0.000832238,0.000832238,0.000832238
26,2457.34,1.6375,1.51971,0.98434,0.3896,0.29387,0.27296,0.14982,1.52873,1.36759,0.96306,0.0007875,0.0007875,0.0007875
27,2549.78,1.63515,1.51174,0.9847,0.38472,0.29941,0.27441,0.15126,1.52424,1.36114,0.96206,0.000742762,0.000742762,0.000742762
28,2642.86,1.62625,1.50213,0.98124,0.39421,0.29938,0.2774,0.15241,1.52253,1.35785,0.96161,0.0006982,0.0006982,0.0006982
29,2736.79,1.62192,1.49277,0.98007,0.38775,0.30032,0.27762,0.15341,1.51982,1.35464,0.96036,0.000653991,0.000653991,0.000653991
30,2830.58,1.61296,1.48467,0.97774,0.38812,0.30238,0.27879,0.15384,1.5163,1.34955,0.95944,0.000610308,0.000610308,0.000610308
31,2922.91,1.60842,1.47456,0.97638,0.39227,0.305,0.28016,0.154,1.51382,1.34611,0.95861,0.000567325,0.000567325,0.000567325
32,3016.96,1.60245,1.46318,0.97481,0.39227,0.30482,0.28123,0.15534,1.51158,1.34296,0.95785,0.000525211,0.000525211,0.000525211
33,3111.01,1.59616,1.45333,0.97297,0.39315,0.30655,0.28235,0.15605,1.50988,1.34089,0.95712,0.000484132,0.000484132,0.000484132
34,3207.61,1.59468,1.45099,0.97237,0.39397,0.30802,0.2827,0.15615,1.50812,1.3385,0.95668,0.000444251,0.000444251,0.000444251
35,3303.27,1.58764,1.44171,0.97156,0.39449,0.30767,0.28346,0.15673,1.50721,1.33651,0.95656,0.000405723,0.000405723,0.000405723
36,3399.08,1.58046,1.43436,0.96971,0.39763,0.30628,0.28439,0.15758,1.50591,1.3345,0.95628,0.000368703,0.000368703,0.000368703
