epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.067,3.08168,3.28481,1.77104,0.7737,0.028,0.02642,0.01196,2.63446,3.07639,1.43543,0.000499382,0.000499382,0.0672073
2,223.962,2.32533,2.41777,1.34514,0.24397,0.12529,0.07017,0.03372,2.18582,2.21095,1.31034,0.000998445,0.000998445,0.034373
3,331.134,2.12736,2.16407,1.26598,0.25583,0.15203,0.09285,0.04646,2.08118,1.96328,1.24511,0.00149377,0.00149377,0.00153497
4,437.704,2.01926,2.01187,1.22348,0.29347,0.17415,0.11969,0.05962,1.93398,1.85157,1.21719,0.00148738,0.00148738,0.00148738
5,542.592,1.94549,1.91919,1.19683,0.24424,0.17968,0.13161,0.0684,1.86813,1.84099,1.1762,0.00147762,0.00147762,0.00147762
6,648.481,1.90836,1.85709,1.18071,0.25445,0.21474,0.15399,0.08059,1.82388,1.69476,1.15654,0.00146513,0.00146513,0.00146513
7,754.349,1.86612,1.79959,1.16559,0.24692,0.21698,0.16414,0.0874,1.76418,1.62893,1.13654,0.00144997,0.00144997,0.00144997
8,858.058,1.83329,1.74685,1.15527,0.25213,0.21943,0.17417,0.09223,1.77147,1.60576,1.13451,0.00143219,0.00143219,0.00143219
9,964.054,1.82062,1.72406,1.14382,0.28855,0.24062,0.19395,0.102,1.72475,1.53156,1.13332,0.00141187,0.00141187,0.00141187
10,1071.01,1.80273,1.69347,1.13911,0.29201,0.23776,0.19975,0.10838,1.69736,1.50675,1.11706,0.00138908,0.00138908,0.00138908
11,1179.16,1.79242,1.66956,1.13476,0.32144,0.24274,0.20869,0.11434,1.67706,1.48684,1.10481,0.00136392,0.00136392,0.00136392
12,1289.92,1.76765,1.64099,1.12645,0.31677,0.25091,0.21514,0.11634,1.67734,1.47778,1.10962,0.00133649,0.00133649,0.00133649
13,1398.66,1.752,1.62201,1.12334,0.32011,0.26165,0.22194,0.12138,1.64821,1.45438,1.09771,0.00130689,0.00130689,0.00130689
14,1507.87,1.74933,1.5964,1.11734,0.33705,0.25911,0.22605,0.1247,1.64149,1.44346,1.09183,0.00127524,0.00127524,0.00127524
15,1617.03,1.74422,1.59448,1.11598,0.33598,0.26511,0.23713,0.13142,1.61803,1.41218,1.08665,0.00124166,0.00124166,0.00124166
16,1725.3,1.73107,1.57535,1.11148,0.35217,0.26106,0.2442,0.13483,1.61928,1.40144,1.08264,0.0012063,0.0012063,0.0012063
17,1835.85,1.72273,1.56333,1.10683,0.36044,0.27767,0.25278,0.14012,1.6052,1.37882,1.08096,0.00116928,0.00116928,0.00116928
18,1945.72,1.70332,1.53241,1.09907,0.36137,0.28059,0.25299,0.1403,1.60048,1.37637,1.08007,0.00113075,0.00113075,0.00113075
19,2055.66,1.70457,1.53422,1.09982,0.36559,0.28359,0.25794,0.14489,1.58502,1.35928,1.07345,0.00109087,0.00109087,0.00109087
20,2164.35,1.69425,1.51257,1.09384,0.38111,0.28501,0.26112,0.14511,1.58001,1.35746,1.06864,0.00104979,0.00104979,0.00104979
