epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.338,3.06845,3.30043,1.76037,0.05185,0.17582,0.04842,0.02087,2.38896,2.4527,1.41952,0.000499382,0.000499382,0.0672073
2,210.919,2.31639,2.42041,1.33388,0.24943,0.14497,0.08229,0.03856,2.13,2.05603,1.2716,0.000998445,0.000998445,0.034373
3,317.234,2.12311,2.17347,1.25983,0.29458,0.11791,0.05952,0.02867,2.30219,2.3699,1.2772,0.00149377,0.00149377,0.00153497
4,418.438,2.01687,2.02018,1.21658,0.29587,0.18437,0.11829,0.0596,1.96764,1.89555,1.20733,0.00148738,0.00148738,0.00148738
5,520.845,1.94185,1.92526,1.18937,0.22872,0.19994,0.14474,0.07526,1.83797,1.72576,1.17076,0.00147762,0.00147762,0.00147762
6,623.119,1.90965,1.86787,1.17331,0.24798,0.21499,0.14704,0.07745,1.83113,1.76272,1.16161,0.00146513,0.00146513,0.00146513
7,724.097,1.86557,1.81466,1.16025,0.25175,0.21917,0.16724,0.08873,1.77855,1.63711,1.14036,0.00144997,0.00144997,0.00144997
8,825.144,1.83605,1.76198,1.15042,0.35626,0.22221,0.17341,0.09098,1.76664,1.59374,1.13623,0.00143219,0.00143219,0.00143219
9,928.433,1.82975,1.74351,1.14001,0.28497,0.23344,0.18931,0.09995,1.7385,1.55025,1.12323,0.00141187,0.00141187,0.00141187
10,1030.36,1.80766,1.7132,1.13522,0.3121,0.23486,0.19494,0.10368,1.71938,1.55117,1.11659,0.00138908,0.00138908,0.00138908
11,1132.5,1.79364,1.68674,1.12958,0.3582,0.2413,0.19692,0.10674,1.69331,1.51519,1.10958,0.00136392,0.00136392,0.00136392
12,1234.15,1.76895,1.65743,1.12218,0.33098,0.25216,0.2107,0.11375,1.67934,1.49339,1.10197,0.00133649,0.00133649,0.00133649
13,1335.15,1.75903,1.64386,1.1209,0.32015,0.26504,0.21913,0.11975,1.6568,1.46631,1.09811,0.00130689,0.00130689,0.00130689
14,1437.19,1.75364,1.61859,1.11274,0.31611,0.26629,0.22346,0.12186,1.63913,1.44396,1.08376,0.00127524,0.00127524,0.00127524
15,1538.57,1.74622,1.61045,1.11166,0.34304,0.26501,0.23304,0.12912,1.62946,1.43107,1.08676,0.00124166,0.00124166,0.00124166
16,1641.14,1.73447,1.59743,1.10699,0.44739,0.26049,0.23567,0.13063,1.62224,1.41526,1.08156,0.0012063,0.0012063,0.0012063
17,1743.39,1.72521,1.58147,1.1025,0.33848,0.2713,0.23797,0.13144,1.6121,1.40112,1.07584,0.00116928,0.00116928,0.00116928
18,1845.95,1.70582,1.551,1.09478,0.35485,0.28088,0.24811,0.1375,1.60611,1.39097,1.07641,0.00113075,0.00113075,0.00113075
19,1948.08,1.71032,1.5529,1.09609,0.38509,0.27459,0.24997,0.13994,1.59754,1.38361,1.07133,0.00109087,0.00109087,0.00109087
20,2049.81,1.69992,1.53351,1.09038,0.39031,0.27727,0.25268,0.14156,1.59117,1.37789,1.06803,0.00104979,0.00104979,0.00104979
21,2151.99,1.69065,1.52553,1.0876,0.3745,0.28561,0.25959,0.14534,1.58108,1.36254,1.06524,0.00100767,0.00100767,0.00100767
22,2253.47,1.67855,1.50083,1.08239,0.37389,0.28888,0.26153,0.1465,1.57445,1.34934,1.06009,0.000964692,0.000964692,0.000964692
23,2355.69,1.67963,1.49992,1.08131,0.37511,0.29487,0.26461,0.1483,1.56998,1.34483,1.05935,0.000921009,0.000921009,0.000921009
24,2456.75,1.67197,1.49157,1.08084,0.37224,0.30089,0.2678,0.15104,1.56471,1.33763,1.05763,0.0008768,0.0008768,0.0008768
25,2558.72,1.66338,1.47622,1.07655,0.38004,0.29634,0.27266,0.15353,1.55721,1.32871,1.0546,0.000832238,0.000832238,0.000832238
26,2662.3,1.65558,1.46767,1.07273,0.37663,0.30171,0.2722,0.15328,1.55678,1.32746,1.05318,0.0007875,0.0007875,0.0007875
27,2766.55,1.65468,1.46264,1.07156,0.37536,0.30888,0.27352,0.15413,1.55167,1.31976,1.05115,0.000742762,0.000742762,0.000742762
28,2871.37,1.64554,1.4501,1.0689,0.37763,0.30805,0.27551,0.15455,1.5501,1.31692,1.05074,0.0006982,0.0006982,0.0006982
29,2976.43,1.64257,1.442,1.06493,0.37908,0.30905,0.27696,0.15668,1.54598,1.31273,1.04895,0.000653991,0.000653991,0.000653991
30,3078.62,1.63333,1.43062,1.06318,0.38068,0.30787,0.27901,0.1578,1.54286,1.30821,1.04746,0.000610308,0.000610308,0.000610308
31,3179.28,1.63199,1.4248,1.06234,0.38261,0.31107,0.28007,0.1574,1.54087,1.30544,1.04654,0.000567325,0.000567325,0.000567325
