epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.791,3.10858,3.30408,1.77696,0.03383,0.14903,0.03699,0.01713,2.56033,2.6364,1.40325,0.000499382,0.000499382,0.0672073
2,234.601,2.33195,2.40804,1.33695,0.25404,0.12823,0.08087,0.03795,2.17649,2.09333,1.2968,0.000998445,0.000998445,0.034373
3,353.503,2.14037,2.16215,1.26054,0.36697,0.14059,0.09309,0.04774,2.05903,2.01536,1.2361,0.00149377,0.00149377,0.00153497
4,471.977,2.03317,2.01555,1.21941,0.19393,0.17797,0.10571,0.0543,1.98348,1.90404,1.21598,0.00148738,0.00148738,0.00148738
5,589.034,1.96016,1.92348,1.192,0.34373,0.18421,0.1342,0.06867,1.88911,1.80243,1.18156,0.00147762,0.00147762,0.00147762
6,704.474,1.92595,1.86318,1.17527,0.2681,0.20647,0.14514,0.07536,1.8402,1.70885,1.17652,0.00146513,0.00146513,0.00146513
7,818.42,1.88053,1.8053,1.16126,0.25796,0.21729,0.16633,0.08902,1.79586,1.63978,1.13976,0.00144997,0.00144997,0.00144997
8,932.997,1.84867,1.75128,1.14928,0.28088,0.21992,0.18078,0.09587,1.78172,1.58834,1.12891,0.00143219,0.00143219,0.00143219
9,1049.65,1.83916,1.73097,1.13842,0.27923,0.23305,0.19115,0.1014,1.74209,1.54203,1.12225,0.00141187,0.00141187,0.00141187
10,1165.04,1.81855,1.69831,1.13457,0.28704,0.24149,0.19951,0.10705,1.73369,1.53126,1.11015,0.00138908,0.00138908,0.00138908
11,1280.39,1.80828,1.67367,1.12864,0.2981,0.24303,0.20416,0.11129,1.69951,1.50806,1.11541,0.00136392,0.00136392,0.00136392
12,1395.05,1.78085,1.64322,1.12001,0.32106,0.25653,0.2169,0.11877,1.68213,1.47752,1.10001,0.00133649,0.00133649,0.00133649
13,1509.1,1.76932,1.62681,1.11834,0.32078,0.2587,0.21734,0.11988,1.67151,1.47024,1.09597,0.00130689,0.00130689,0.00130689
14,1623.76,1.76363,1.60092,1.10998,0.34739,0.26189,0.22939,0.12647,1.65786,1.45258,1.08675,0.00127524,0.00127524,0.00127524
15,1737.94,1.75805,1.59997,1.10895,0.34462,0.26565,0.23536,0.1308,1.64541,1.43119,1.08388,0.00124166,0.00124166,0.00124166
16,1853.35,1.74284,1.57636,1.10338,0.35878,0.26625,0.2399,0.13322,1.63811,1.40888,1.0783,0.0012063,0.0012063,0.0012063
17,1968.49,1.73356,1.56382,1.09915,0.37879,0.27098,0.2468,0.13658,1.62197,1.39639,1.07881,0.00116928,0.00116928,0.00116928
18,2084.06,1.71547,1.53347,1.09157,0.36423,0.27629,0.25252,0.14093,1.60793,1.38613,1.07504,0.00113075,0.00113075,0.00113075
19,2199.22,1.71602,1.53642,1.09117,0.36075,0.28367,0.25368,0.1408,1.60679,1.37616,1.06786,0.00109087,0.00109087,0.00109087
20,2313.79,1.70661,1.51584,1.0862,0.3595,0.28711,0.25438,0.14223,1.59625,1.36612,1.06238,0.00104979,0.00104979,0.00104979
21,2434.46,1.6995,1.5077,1.08393,0.37518,0.2871,0.26013,0.14589,1.58654,1.3563,1.06128,0.00100767,0.00100767,0.00100767
22,2552.16,1.68527,1.48375,1.07915,0.36844,0.29374,0.26378,0.14847,1.58127,1.34452,1.05839,0.000964692,0.000964692,0.000964692
23,2670.08,1.68714,1.4856,1.0778,0.39162,0.29037,0.26835,0.15128,1.57791,1.33883,1.0569,0.000921009,0.000921009,0.000921009
24,2783.34,1.67922,1.47737,1.07648,0.40024,0.297,0.27273,0.15328,1.57134,1.32995,1.05451,0.0008768,0.0008768,0.0008768
25,2900.88,1.66928,1.46038,1.07228,0.39301,0.2981,0.27621,0.15574,1.56682,1.32155,1.05171,0.000832238,0.000832238,0.000832238
26,3019.49,1.66239,1.45253,1.069,0.39884,0.30151,0.27755,0.15696,1.5616,1.31976,1.05036,0.0007875,0.0007875,0.0007875
