epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.461,3.14787,3.27975,1.78175,0.03127,0.11125,0.0258,0.01179,2.77226,2.85679,1.42022,0.000499382,0.000499382,0.0672073
2,221.904,2.36552,2.39077,1.35061,0.33466,0.14262,0.07938,0.03829,2.13701,2.05891,1.27721,0.000998445,0.000998445,0.034373
3,328.456,2.17326,2.14513,1.27245,0.25528,0.15005,0.09345,0.04466,2.20908,1.96125,1.27973,0.00149377,0.00149377,0.00153497
4,437.105,2.05788,1.98769,1.22845,0.39364,0.16826,0.11519,0.05659,2.01268,1.87613,1.23748,0.00148738,0.00148738,0.00148738
5,542.204,1.98496,1.89565,1.20126,0.34111,0.19783,0.1453,0.07589,1.8686,1.69024,1.16859,0.00147762,0.00147762,0.00147762
6,647.6,1.9504,1.83748,1.18571,0.36658,0.21883,0.16352,0.084,1.84619,1.66104,1.15943,0.00146513,0.00146513,0.00146513
7,757.059,1.90346,1.78048,1.1711,0.3519,0.22563,0.16286,0.08591,1.8113,1.66471,1.14701,0.00144997,0.00144997,0.00144997
8,863.278,1.87486,1.73266,1.16114,0.37558,0.2202,0.18227,0.09638,1.80053,1.5857,1.14955,0.00143219,0.00143219,0.00143219
9,971.004,1.85931,1.70704,1.14892,0.29363,0.24244,0.20034,0.10617,1.77388,1.53399,1.1407,0.00141187,0.00141187,0.00141187
10,1075.6,1.84373,1.67832,1.1449,0.38202,0.23015,0.19194,0.10307,1.74809,1.51979,1.11945,0.00138908,0.00138908,0.00138908
11,1183.53,1.83442,1.65646,1.14107,0.32473,0.24069,0.21196,0.11567,1.70235,1.47964,1.11405,0.00136392,0.00136392,0.00136392
12,1288.33,1.80745,1.62786,1.13221,0.43802,0.25501,0.22324,0.12158,1.69605,1.44182,1.10807,0.00133649,0.00133649,0.00133649
13,1394.07,1.79173,1.60748,1.12909,0.34107,0.25732,0.22453,0.12302,1.69859,1.44623,1.10667,0.00130689,0.00130689,0.00130689
14,1500.74,1.78891,1.58396,1.12242,0.32855,0.27317,0.24029,0.13153,1.6624,1.41016,1.09438,0.00127524,0.00127524,0.00127524
15,1604.35,1.78057,1.58104,1.12079,0.35368,0.2652,0.24352,0.13534,1.64982,1.39921,1.09324,0.00124166,0.00124166,0.00124166
16,1711.22,1.77102,1.5626,1.11667,0.35127,0.2723,0.24904,0.1387,1.64951,1.38288,1.08834,0.0012063,0.0012063,0.0012063
17,1817.3,1.76055,1.54925,1.11161,0.46072,0.27954,0.25804,0.143,1.63575,1.36673,1.08398,0.00116928,0.00116928,0.00116928
18,1924.67,1.73905,1.51744,1.10276,0.46443,0.27713,0.25622,0.1434,1.63453,1.36555,1.08211,0.00113075,0.00113075,0.00113075
19,2032.59,1.74221,1.52198,1.10437,0.48024,0.2793,0.25969,0.14501,1.62515,1.35702,1.07771,0.00109087,0.00109087,0.00109087
20,2139.44,1.73241,1.49968,1.09865,0.36958,0.28185,0.26091,0.1471,1.6136,1.34166,1.07127,0.00104979,0.00104979,0.00104979
21,2245.84,1.72448,1.49251,1.09588,0.46536,0.2877,0.26829,0.15218,1.60207,1.33477,1.06976,0.00100767,0.00100767,0.00100767
22,2352.86,1.71107,1.46933,1.09169,0.38952,0.29455,0.27135,0.15422,1.59362,1.32384,1.0663,0.000964692,0.000964692,0.000964692
23,2458.21,1.71157,1.47216,1.08953,0.38578,0.29849,0.27443,0.15606,1.59374,1.3194,1.06508,0.000921009,0.000921009,0.000921009
24,2562.01,1.70098,1.46421,1.08781,0.38992,0.3022,0.27989,0.15939,1.5876,1.31164,1.06386,0.0008768,0.0008768,0.0008768
25,2668.12,1.69412,1.44681,1.08392,0.38669,0.30464,0.28021,0.15909,1.58136,1.30654,1.06066,0.000832238,0.000832238,0.000832238
26,2775.79,1.68591,1.43917,1.0805,0.39489,0.31164,0.28391,0.1616,1.5772,1.30257,1.0585,0.0007875,0.0007875,0.0007875
27,2880.84,1.68661,1.43556,1.07952,0.40938,0.30483,0.28479,0.16237,1.57415,1.29641,1.05786,0.000742762,0.000742762,0.000742762
28,2983.66,1.67834,1.4235,1.07659,0.40133,0.31026,0.28722,0.16378,1.57188,1.29259,1.05627,0.0006982,0.0006982,0.0006982
29,3090.98,1.67047,1.41124,1.07183,0.40479,0.31119,0.28902,0.16465,1.5674,1.28641,1.05475,0.000653991,0.000653991,0.000653991
30,3195.81,1.66551,1.40305,1.0713,0.40018,0.31405,0.29035,0.1653,1.56491,1.28226,1.05358,0.000610308,0.000610308,0.000610308
31,3296.85,1.6605,1.39442,1.06925,0.39728,0.31759,0.2926,0.16657,1.56193,1.27713,1.05227,0.000567325,0.000567325,0.000567325
32,3401.81,1.65181,1.37985,1.06556,0.39732,0.32299,0.2942,0.1672,1.55998,1.27412,1.0511,0.000525211,0.000525211,0.000525211
33,3504.68,1.64486,1.37266,1.06426,0.39708,0.32564,0.29478,0.16794,1.55702,1.27182,1.04964,0.000484132,0.000484132,0.000484132
34,3609.91,1.64937,1.37144,1.06286,0.39905,0.32474,0.29692,0.16915,1.55547,1.26881,1.0488,0.000444251,0.000444251,0.000444251
35,3712.16,1.63592,1.36045,1.06083,0.40468,0.32399,0.29702,0.16983,1.55463,1.26753,1.04838,0.000405723,0.000405723,0.000405723
36,3817.78,1.62998,1.35082,1.05687,0.40528,0.32406,0.29779,0.17012,1.55332,1.2647,1.04764,0.000368703,0.000368703,0.000368703
37,3922.44,1.62732,1.34399,1.05645,0.40765,0.32388,0.29912,0.17064,1.55195,1.26311,1.04692,0.000333335,0.000333335,0.000333335
38,4023.33,1.62223,1.33888,1.05507,0.41032,0.32275,0.29944,0.17077,1.55064,1.26146,1.0465,0.00029976,0.00029976,0.00029976
39,4128.06,1.61791,1.3358,1.05214,0.41412,0.32197,0.30061,0.17138,1.5507,1.25994,1.04626,0.00026811,0.00026811,0.00026811
40,4231.46,1.61114,1.32615,1.05035,0.41292,0.32406,0.30073,0.17144,1.5501,1.25876,1.04593,0.000238509,0.000238509,0.000238509
41,4320.92,1.58265,1.29727,1.04477,0.41819,0.32195,0.3012,0.17132,1.5498,1.258,1.04565,0.000211075,0.000211075,0.000211075
42,4409.75,1.57348,1.28096,1.04148,0.4125,0.32474,0.30076,0.17129,1.54899,1.25689,1.04539,0.000185916,0.000185916,0.000185916
43,4498.48,1.57253,1.27667,1.04152,0.41356,0.3229,0.30135,0.17176,1.54848,1.2561,1.04525,0.000163131,0.000163131,0.000163131
44,4589.33,1.57079,1.27221,1.03921,0.41405,0.32341,0.30161,0.17223,1.54801,1.25518,1.04516,0.000142811,0.000142811,0.000142811
45,4677.78,1.56427,1.26233,1.03822,0.41245,0.32425,0.30204,0.17248,1.54788,1.25441,1.04507,0.000125034,0.000125034,0.000125034
46,4764.99,1.56031,1.25854,1.03673,0.41048,0.3255,0.30226,0.17245,1.54767,1.25372,1.04495,0.000109872,0.000109872,0.000109872
47,4855.25,1.55728,1.2566,1.0359,0.41008,0.3252,0.30254,0.17273,1.54725,1.2531,1.04476,9.73845e-05,9.73845e-05,9.73845e-05
48,4946.07,1.55767,1.25281,1.03516,0.41003,0.32593,0.303,0.1731,1.54686,1.2523,1.04455,8.76203e-05,8.76203e-05,8.76203e-05
49,5037.45,1.56202,1.25562,1.03526,0.41204,0.32464,0.30327,0.17301,1.54668,1.25174,1.0444,8.06183e-05,8.06183e-05,8.06183e-05
50,5128.6,1.555,1.24884,1.03502,0.41355,0.32358,0.30341,0.17308,1.54632,1.25091,1.04424,7.6406e-05,7.6406e-05,7.6406e-05
