epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.1414,3.26092,3.44415,0.0074,0.03958,0.14671,0.03259,0.01115,2.78305,2.66575,0.00764,0.000499382,0.000499382,0.0672073
2,175.051,2.57771,2.56765,0.00533,0.2548,0.10952,0.06496,0.02844,2.41955,2.2725,0.00632,0.000976148,0.000976148,0.0343507
3,261.451,2.34237,2.28187,0.00462,0.28311,0.12966,0.0808,0.03616,2.28448,2.16117,0.00561,0.00136336,0.00136336,0.00140457
4,347.085,2.21218,2.12811,0.00427,0.26255,0.14127,0.095,0.04485,2.19799,1.96052,0.00518,0.0012063,0.0012063,0.0012063
5,432.139,2.1137,1.99693,0.00401,0.33342,0.17159,0.12744,0.06257,2.05758,1.83888,0.00483,0.00100767,0.00100767,0.00100767
6,519.347,2.05271,1.90448,0.00384,0.21776,0.19337,0.14268,0.0705,2.00169,1.73233,0.00473,0.0007875,0.0007875,0.0007875
7,606.057,1.99954,1.83701,0.00371,0.2492,0.20535,0.15335,0.07695,1.93568,1.68355,0.00454,0.000567325,0.000567325,0.000567325
8,692.588,1.95724,1.77685,0.00358,0.25675,0.20954,0.1712,0.08627,1.90683,1.64015,0.00441,0.000368703,0.000368703,0.000368703
9,780.346,1.9171,1.72266,0.00347,0.27408,0.2206,0.17454,0.08841,1.88825,1.6165,0.00428,0.000211075,0.000211075,0.000211075
10,866.241,1.90277,1.69661,0.00342,0.29207,0.22072,0.17964,0.09131,1.87323,1.58637,0.00427,0.000109872,0.000109872,0.000109872
