epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.1593,3.21301,3.36683,0.00693,0.03838,0.18729,0.04174,0.01705,2.63552,2.58604,0.00677,0.000499382,0.000499382,0.0672073
2,199.171,2.52133,2.4752,0.00487,0.43053,0.1262,0.07528,0.03401,2.28438,2.09632,0.00575,0.000998445,0.000998445,0.034373
3,296.481,2.29086,2.19797,0.0043,0.36096,0.12484,0.08991,0.04344,2.23197,2.01774,0.00529,0.00149377,0.00149377,0.00153497
4,394,2.16271,2.02617,0.00399,0.28684,0.1756,0.105,0.04982,2.08308,1.95494,0.00499,0.00148738,0.00148738,0.00148738
5,489.673,2.07304,1.92058,0.00377,0.23605,0.20284,0.14889,0.07408,1.9589,1.70563,0.00464,0.00147762,0.00147762,0.00147762
6,585.836,2.02624,1.85,0.00362,0.26463,0.20529,0.15948,0.0786,1.92793,1.66591,0.00445,0.00146513,0.00146513,0.00146513
7,681.124,1.97551,1.79334,0.00352,0.3626,0.21703,0.1637,0.08318,1.86946,1.62006,0.00433,0.00144997,0.00144997,0.00144997
8,776.755,1.9394,1.74097,0.00346,0.28371,0.22545,0.18817,0.09495,1.84467,1.57456,0.00413,0.00143219,0.00143219,0.00143219
9,874.645,1.92169,1.72193,0.00336,0.28661,0.24276,0.19349,0.09854,1.8078,1.5515,0.00411,0.00141187,0.00141187,0.00141187
10,970.913,1.90326,1.68488,0.00333,0.31206,0.24189,0.20338,0.10532,1.78435,1.51941,0.00402,0.00138908,0.00138908,0.00138908
11,1067.19,1.88956,1.66168,0.00329,0.34046,0.24229,0.20995,0.11011,1.76287,1.49608,0.00391,0.00136392,0.00136392,0.00136392
12,1163.1,1.85947,1.63333,0.00325,0.36008,0.25036,0.21413,0.11214,1.75171,1.48046,0.00389,0.00133649,0.00133649,0.00133649
