epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.835,3.21301,3.36683,0.00693,0.03838,0.18729,0.04174,0.01705,2.63552,2.58604,0.00677,0.000499382,0.000499382,0.0672073
2,207.22,2.52187,2.47758,0.00487,0.30957,0.13178,0.05851,0.0261,2.39639,2.33132,0.0064,0.000998445,0.000998445,0.034373
3,307.934,2.29341,2.20166,0.00431,0.24742,0.12384,0.08457,0.04027,2.26839,2.08705,0.0053,0.00149377,0.00149377,0.00153497
4,408.954,2.15758,2.02487,0.00398,0.27351,0.18639,0.11105,0.05363,2.05388,1.94367,0.00481,0.00148738,0.00148738,0.00148738
5,507.636,2.06973,1.92007,0.00377,0.24928,0.20678,0.15134,0.07607,1.93551,1.68322,0.00452,0.00147762,0.00147762,0.00147762
6,606.261,2.02502,1.85104,0.00362,0.25604,0.20601,0.15844,0.07874,1.91099,1.65751,0.0044,0.00146513,0.00146513,0.00146513
7,703.941,1.97117,1.79145,0.00351,0.26209,0.22858,0.17,0.08617,1.85419,1.61102,0.00424,0.00144997,0.00144997,0.00144997
8,802.864,1.93578,1.73975,0.00346,0.38025,0.22501,0.18421,0.0943,1.84694,1.57535,0.00414,0.00143219,0.00143219,0.00143219
9,902.725,1.91655,1.71602,0.00335,0.29114,0.24717,0.19828,0.10214,1.79685,1.54657,0.00406,0.00141187,0.00141187,0.00141187
10,1001.69,1.89943,1.68259,0.00332,0.29967,0.24677,0.20648,0.10728,1.77886,1.49948,0.004,0.00138908,0.00138908,0.00138908
11,1101.19,1.88509,1.66084,0.00329,0.30535,0.24712,0.20699,0.10898,1.75718,1.4924,0.00391,0.00136392,0.00136392,0.00136392
12,1200.2,1.85558,1.63071,0.00325,0.34012,0.25049,0.2146,0.11285,1.74593,1.46622,0.00388,0.00133649,0.00133649,0.00133649
13,1301.79,1.83992,1.61006,0.00322,0.33426,0.25906,0.22466,0.11847,1.72929,1.45099,0.00382,0.00130689,0.00130689,0.00130689
14,1404.85,1.83363,1.58787,0.00316,0.35087,0.2678,0.23384,0.12493,1.70068,1.4281,0.00373,0.00127524,0.00127524,0.00127524
15,1507.57,1.82812,1.58862,0.00315,0.35707,0.26513,0.24148,0.12929,1.6781,1.40449,0.00367,0.00124166,0.00124166,0.00124166
16,1606.67,1.8128,1.5667,0.00312,0.36021,0.2704,0.24078,0.13058,1.67828,1.39975,0.00363,0.0012063,0.0012063,0.0012063
17,1707.43,1.8033,1.55189,0.00308,0.36108,0.27948,0.25343,0.13779,1.66171,1.36725,0.00361,0.00116928,0.00116928,0.00116928
18,1808.26,1.78308,1.52313,0.00303,0.36058,0.2782,0.25352,0.13858,1.65358,1.36304,0.0036,0.00113075,0.00113075,0.00113075
19,1908.26,1.78377,1.52442,0.00304,0.3672,0.27431,0.25234,0.13831,1.65248,1.36068,0.00356,0.00109087,0.00109087,0.00109087
20,2002.27,1.77224,1.50772,0.00299,0.36321,0.28538,0.25607,0.13957,1.64059,1.35477,0.00353,0.00104979,0.00104979,0.00104979
21,2096.81,1.76344,1.50061,0.00298,0.37541,0.288,0.26399,0.14513,1.62727,1.34192,0.00351,0.00100767,0.00100767,0.00100767
22,2190.89,1.74971,1.4738,0.00296,0.38069,0.28725,0.26543,0.1453,1.62334,1.33308,0.00349,0.000964692,0.000964692,0.000964692
23,2285.65,1.7488,1.47704,0.00294,0.38273,0.28952,0.26862,0.1478,1.61826,1.32748,0.00347,0.000921009,0.000921009,0.000921009
24,2379.19,1.73949,1.46633,0.00293,0.39152,0.29531,0.27232,0.15062,1.61172,1.3185,0.00345,0.0008768,0.0008768,0.0008768
25,2473.58,1.73066,1.45104,0.00292,0.38283,0.30101,0.27587,0.15223,1.60509,1.30998,0.00343,0.000832238,0.000832238,0.000832238
26,2568.12,1.71983,1.44004,0.00289,0.39032,0.30173,0.27608,0.15304,1.60168,1.30636,0.00342,0.0007875,0.0007875,0.0007875
27,2662.43,1.72019,1.4357,0.00288,0.38792,0.30312,0.27793,0.15359,1.59899,1.30182,0.00341,0.000742762,0.000742762,0.000742762
28,2762.05,1.71077,1.42328,0.00286,0.38665,0.305,0.27964,0.15452,1.59541,1.29776,0.0034,0.0006982,0.0006982,0.0006982
29,2864.45,1.70235,1.41372,0.00282,0.39671,0.30493,0.28233,0.15581,1.59055,1.2923,0.00339,0.000653991,0.000653991,0.000653991
30,2964.11,1.69504,1.40529,0.00282,0.39567,0.30657,0.2839,0.15692,1.5877,1.28828,0.00337,0.000610308,0.000610308,0.000610308
31,3062.21,1.69107,1.39627,0.0028,0.3935,0.31224,0.2854,0.15826,1.58448,1.28362,0.00336,0.000567325,0.000567325,0.000567325
32,3162.59,1.68214,1.38134,0.0028,0.39783,0.31218,0.28723,0.15941,1.58058,1.28104,0.00335,0.000525211,0.000525211,0.000525211
33,3259.51,1.67662,1.37627,0.00278,0.39958,0.31464,0.28927,0.16042,1.57794,1.27832,0.00334,0.000484132,0.000484132,0.000484132
34,3356.65,1.67573,1.37056,0.00277,0.4092,0.31085,0.29092,0.16162,1.57607,1.27549,0.00334,0.000444251,0.000444251,0.000444251
35,3452.91,1.66546,1.36297,0.00276,0.40413,0.31346,0.29185,0.16217,1.5747,1.27391,0.00333,0.000405723,0.000405723,0.000405723
36,3550.56,1.66033,1.35255,0.00273,0.40634,0.3129,0.29251,0.16268,1.57313,1.27157,0.00333,0.000368703,0.000368703,0.000368703
37,3649.94,1.65548,1.34638,0.00272,0.4072,0.31267,0.29284,0.16306,1.57252,1.27028,0.00332,0.000333335,0.000333335,0.000333335
38,3747.6,1.65077,1.34066,0.00273,0.41446,0.31093,0.29386,0.16348,1.5713,1.26809,0.00332,0.00029976,0.00029976,0.00029976
39,3846.93,1.64627,1.33713,0.0027,0.41094,0.31225,0.29469,0.1639,1.57012,1.26676,0.00332,0.00026811,0.00026811,0.00026811
40,3945.27,1.64153,1.33006,0.0027,0.40987,0.31334,0.29523,0.16439,1.56944,1.26531,0.00332,0.000238509,0.000238509,0.000238509
41,4029.71,1.61033,1.297,0.00273,0.41185,0.31382,0.29577,0.16483,1.56922,1.26457,0.00331,0.000211075,0.000211075,0.000211075
42,4114.83,1.59857,1.28015,0.00269,0.41221,0.31412,0.29634,0.1653,1.56855,1.26328,0.00331,0.000185916,0.000185916,0.000185916
43,4198.27,1.59661,1.27434,0.00269,0.41629,0.31407,0.29636,0.16528,1.5677,1.26234,0.00331,0.000163131,0.000163131,0.000163131
44,4279.67,1.59559,1.27212,0.00267,0.41456,0.31415,0.29655,0.16534,1.56697,1.26157,0.00331,0.000142811,0.000142811,0.000142811
